category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
music_and_entertainment,2,6,4,12,6,6,1,0,0,2,0,7,3,2,0,1,0,6,8,1,14,2,3,29,8,2,1,2,0,10,0,0,1,2,4,4,15,41,5,2,7,16,1,0,0,0,1,5,0,2,5,5,26,2,0,1,1,3,8,1,2,5,5,6,2,1,2,2,0,0
personal_or_auto-biographical,1,0,1,0,0,0,0,0,0,0,0,8,0,1,1,1,0,2,0,0,2,0,0,3,1,1,1,0,0,0,0,0,3,1,1,0,3,10,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
politics,4,0,0,1,0,0,5,0,0,0,73,0,4,32,16,7,0,0,0,1,0,20,16,0,3,0,4,4,0,0,10,33,4,24,27,5,2,3,2,17,4,2,2,0,0,0,0,3,0,75,80,25,4,0,14,10,29,11,2,6,0,0,3,0,0,0,2,3,0,0
religion,0,0,16,0,1,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,1,8,0,1,0,47,0,0,1,4,24,0,2,7,21,8,1,1,2,1,0,0,0,0,0,29,0,0,6,12,4,0,0,0,1,0,0,1,0,0,7,2,0,0,43,0,0,0
school_and_education,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,2,1,1,0,1,1,0,0,2,1,9,1,2,11,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
sports,2,2,0,3,0,1,0,0,0,3,0,0,2,1,1,4,0,1,2,2,6,6,3,9,4,0,3,1,0,2,0,2,10,8,2,6,13,5,2,1,4,9,3,0,0,0,3,2,0,6,4,6,12,1,4,3,2,3,6,5,2,0,2,1,0,0,6,8,0,0
technology,7,1,5,1,0,1,4,0,0,0,5,10,5,3,2,0,0,0,1,1,6,6,6,6,0,0,1,8,0,0,3,16,57,6,16,45,5,13,1,11,4,4,1,0,1,0,0,5,0,14,30,37,5,1,5,1,6,5,0,5,1,0,13,1,0,0,9,1,0,0
the_environment,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,20,4,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0
the_mainstream_media,1,0,0,1,0,2,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,3,0,0,0,3,13,1,0,8,0,5,0,3,0,2,0,0,0,0,0,1,0,5,15,7,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
travel,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,1,0,3,1,0,3,0,0,0,0,0,3,0,0,2,1,8,1,0,2,4,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
videoblogging,3,3,4,8,1,10,1,0,0,2,1,7,5,2,2,0,0,2,4,3,11,3,1,8,1,2,2,0,0,5,1,2,11,6,4,8,7,13,4,5,2,14,2,0,0,0,0,0,0,5,5,4,16,2,4,5,4,2,1,0,6,2,10,1,0,0,3,1,0,1
web_development_and_sites,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,4,1,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,3,0,0,0,1,1,1,0,0,0,0,2,0,1,0,2,0,0,0
