category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
health,0,0,0,1,1,0,0,1,1,8,0,0,0,1,0,18,0,0,0,0,0,1,0,0,1,0,0,0,4,0,26,2,0,2,0,0,0,0,0,1,1,0,0,2,0,4,0,1,2,0,2,0,0,0,0,0,0,0,8,0
literature,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,2,2,11,1,1,0,5,0,1,32,1,1,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
movies_and_television,0,0,5,2,0,4,1,3,0,6,11,2,0,12,1,0,1,0,1,3,1,37,2,1,2,1,5,1,6,1,21,3,7,2,0,5,0,0,31,0,16,24,2,3,4,1,1,1,0,1,10,0,0,0,0,1,0,0,30,0
music_and_entertainment,0,1,3,4,6,2,4,1,4,11,5,0,1,10,23,3,6,4,5,16,1,6,4,1,3,18,0,19,4,2,3,0,8,2,0,0,3,1,4,0,9,20,1,2,2,0,0,3,2,6,4,1,3,1,1,4,0,0,75,0
personal_or_auto-biographical,0,5,0,0,2,2,0,0,2,1,1,0,0,1,0,1,0,3,0,0,0,0,0,2,1,6,0,2,0,1,0,0,0,1,0,0,0,1,2,0,0,2,1,1,0,0,1,1,0,3,1,0,3,0,1,0,0,0,3,0
politics,0,0,1,2,4,0,2,2,1,2,4,0,4,0,0,9,0,0,0,1,0,1,2,4,21,0,2,0,19,1,205,70,42,16,3,3,0,2,23,2,5,2,24,13,0,4,0,5,6,5,7,0,0,20,1,0,0,3,2,50
religion,0,0,0,1,4,1,2,2,2,2,26,0,2,7,3,1,0,2,0,0,0,4,2,0,1,13,0,1,10,4,19,1,74,0,0,0,0,0,5,2,10,3,0,0,2,5,0,0,5,1,3,0,0,1,1,0,0,12,29,0
school_and_education,0,0,0,0,1,0,0,2,1,4,4,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,1,1,0,2,0,0,0,0,0,1,0,2,3,1,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0,9,0
sports,0,0,2,0,3,2,1,3,2,9,6,1,3,4,6,7,0,2,0,3,0,2,2,0,6,6,1,0,9,0,20,6,3,2,4,2,1,0,10,1,5,8,2,3,1,2,0,9,1,11,3,0,1,2,0,1,0,0,21,0
technology,0,2,3,10,7,0,0,4,9,8,10,2,11,3,5,8,0,4,1,1,5,5,2,2,10,12,1,2,63,2,42,2,24,2,2,2,0,4,21,0,6,6,6,8,1,6,0,5,29,1,15,3,3,1,9,0,0,0,17,0
the_environment,0,0,2,3,0,0,0,10,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,5,0,2,3,0,10,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
the_mainstream_media,0,0,0,0,2,0,0,3,1,0,1,1,0,2,1,17,1,1,1,1,0,0,1,0,0,2,0,0,12,0,10,0,4,0,1,0,0,1,7,1,1,1,1,2,2,1,2,0,0,1,3,0,3,0,0,0,0,0,1,0
travel,0,0,3,1,0,2,0,0,0,2,0,0,2,0,1,2,0,0,0,1,0,1,0,0,1,4,0,0,2,0,0,5,0,2,0,0,0,0,3,0,2,2,1,1,0,0,0,1,0,2,2,0,0,0,1,0,0,0,6,0
videoblogging,0,1,2,4,4,5,2,1,1,15,8,1,5,7,7,1,5,3,3,5,2,2,0,1,6,9,7,4,5,2,7,4,4,10,1,4,1,2,9,2,5,9,2,1,2,0,1,6,1,12,7,4,1,2,3,1,0,1,23,0
web_development_and_sites,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,8,0,1,1,3,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0,3,2,3,0,0,0,3,0,0,0,0,0
