category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
conferences_and_other_events,1,0,2,0,1,4,2,0,3,1,0,2,0,0,0,2,0,2,4,2,0,0,4,1,0,1,0,0,1,1,4,0,4,0,0,0,4,1,0,0,5,0,2,1,3,3,0,1,3,0,0,0,0,0,5,0,3,1,0,0
gaming,1,0,3,3,0,5,2,0,2,1,1,0,10,2,1,7,0,0,0,0,0,0,6,5,3,0,0,1,1,2,0,0,2,0,2,0,1,2,2,1,2,2,1,2,5,2,6,0,2,0,0,0,0,2,0,7,10,1,0,2
literature,1,0,0,0,0,0,2,0,0,0,0,2,0,1,15,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,1,6,0,0,2,0,0,20,0,2,1,0,7,9,1,0,0,0,0,0,1,0,1,4,0,0
business,2,4,2,1,0,5,7,0,0,2,1,6,0,0,0,4,0,0,0,2,3,1,4,0,0,2,0,0,2,2,1,0,2,0,1,1,2,4,1,2,0,1,1,0,2,1,0,0,1,0,3,1,1,1,4,0,1,2,1,2
the_mainstream_media,2,9,2,0,0,10,1,0,2,0,0,6,1,0,1,2,1,2,1,1,0,1,2,1,0,1,0,1,4,1,0,1,20,1,0,1,1,1,1,0,0,1,0,2,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,1
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
comedy,2,0,1,1,0,7,0,0,3,0,0,10,1,2,2,20,0,1,2,1,0,1,4,0,2,4,0,0,2,13,0,1,0,1,2,3,0,1,0,0,2,4,0,1,7,1,8,2,2,0,0,4,1,1,2,8,14,0,1,1
default_category,9,6,9,18,7,21,17,1,8,10,7,24,5,9,14,43,1,3,9,12,5,3,16,7,21,6,2,10,18,23,7,2,10,12,8,9,7,12,7,8,14,24,14,19,18,10,16,9,12,1,4,10,4,8,7,10,34,7,6,11
videoblogging,0,2,1,4,1,6,6,0,1,1,1,4,10,2,4,13,2,3,3,2,1,0,10,2,10,1,1,4,2,16,4,1,3,2,4,7,1,9,1,2,4,7,0,5,3,6,6,8,7,0,1,2,3,2,2,14,15,4,1,6
documentary,2,0,1,0,0,0,2,0,6,1,1,3,0,3,2,6,2,0,3,2,0,2,4,0,4,0,0,1,1,3,0,2,0,0,1,3,5,2,3,1,2,3,1,3,3,2,2,5,5,0,0,0,1,5,0,2,5,1,1,2
