category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
gaming,0,1,1,1,0,2,1,0,0,2,0,2,1,3,1,5,6,5,2,3,2,1,4,1,1,2,0,1,6,2,1,2,0,2,2,0,0,2,1,0,0,0,0,2,0,2,1,7,2,5,3,0,3,2,2,2,2,3,3,0,1,0,4,0,0
health,1,0,0,0,0,1,2,0,0,5,0,5,1,3,0,1,0,2,2,0,5,1,2,2,0,0,1,0,4,6,0,5,0,5,2,1,0,0,3,0,0,0,0,0,3,1,1,5,0,4,4,0,0,2,0,0,0,5,0,0,0,0,2,0,0
literature,5,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,7,21,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,2,0,0,0
movies_and_television,1,4,1,3,6,11,1,1,0,1,0,3,2,5,4,9,7,14,9,2,3,1,1,3,0,2,0,13,11,23,1,20,3,0,4,2,1,1,6,0,0,0,0,0,20,1,5,10,1,12,4,3,8,3,2,1,1,2,4,0,0,4,9,0,0
music_and_entertainment,2,6,2,12,6,6,1,0,0,2,0,1,1,6,8,26,14,16,5,29,8,2,1,2,0,10,0,0,1,6,0,2,11,4,7,2,15,0,4,0,0,1,5,0,2,5,5,41,2,7,1,1,3,8,1,2,5,1,6,2,1,2,2,0,0
personal_or_auto-biographical,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,1,1,3,1,1,1,0,0,0,0,0,3,0,0,1,9,1,2,0,3,1,0,0,0,0,0,0,0,1,1,10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
politics,4,0,20,1,0,0,5,0,0,0,73,7,1,0,0,4,0,2,80,0,3,0,4,4,0,0,10,33,4,20,0,24,0,27,35,17,2,30,5,0,0,0,3,0,75,2,25,3,0,4,2,29,11,2,6,0,0,10,0,0,0,2,3,0,0
religion,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,4,2,1,6,8,0,1,0,47,0,0,1,4,24,1,0,0,18,2,7,1,21,0,7,0,0,0,29,0,0,1,12,8,0,2,0,1,0,0,1,0,0,0,2,0,0,43,0,0,0
school_and_education,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,3,1,0,1,1,1,0,1,1,0,0,2,1,9,2,0,1,0,2,3,0,0,0,11,0,0,0,1,0,1,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sports,2,2,6,3,0,1,0,0,0,3,0,4,2,1,2,12,6,9,4,9,4,0,3,1,0,2,0,2,10,5,0,8,0,2,3,1,13,5,6,0,0,3,2,0,6,2,6,5,1,4,3,2,3,6,5,2,0,3,1,0,0,6,8,0,0
technology,7,1,6,1,0,1,4,0,0,0,5,0,1,0,1,5,6,4,30,6,0,0,1,8,0,0,3,16,57,11,0,6,15,16,16,11,5,7,45,0,1,0,5,0,14,1,37,13,1,4,1,6,5,0,5,1,0,1,1,0,0,9,1,0,0
the_environment,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,3,1,2,0,0,0,0,0,0,0,0,20,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0
the_mainstream_media,1,0,1,1,0,2,0,0,0,0,2,0,0,1,0,1,1,2,15,1,0,0,0,3,0,0,0,3,13,2,0,1,3,0,1,3,0,1,8,0,0,0,1,0,5,0,7,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
travel,1,0,1,1,0,1,0,0,0,1,0,0,0,2,2,0,2,4,1,3,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,8,0,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0
videoblogging,3,3,3,8,1,10,1,0,0,2,1,0,3,2,4,16,11,14,5,8,1,2,2,0,0,5,1,2,11,6,0,6,11,4,12,5,7,6,8,0,0,0,0,0,5,4,4,13,2,2,2,4,2,1,0,6,2,5,1,0,0,3,1,0,1
web_development_and_sites,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,4,2,0,1,0,1,2,1,0,0,3,0,0,0,0,0,2,0,3,1,0,0,1,1,1,0,0,0,0,1,0,1,0,2,0,0,0
