category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
the_environment,1,0,0,0,0,2,0,0,16,0,0,0,0,2,0,0,1,0,2,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,2,4,0,0,1,0,1,1,0,0,3,0,0,1,0,1,0
school_and_education,0,0,5,1,0,1,0,0,9,1,9,6,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0
health,0,5,3,2,0,0,0,0,3,2,1,2,2,4,0,0,1,0,2,0,0,0,0,0,0,4,0,8,0,0,5,0,1,1,1,4,8,2,1,0,2,0,7,1,0,1,1,1,0,0,2,7,0,1,2
citizen_journalism,0,4,4,2,8,0,0,2,2,2,0,16,1,1,0,0,3,14,3,0,1,0,0,0,5,20,0,2,0,0,0,0,0,1,0,0,5,5,1,0,2,0,1,5,0,3,1,1,0,1,2,3,1,0,9
personal_or_auto-biographical,4,0,1,0,0,2,0,0,4,0,2,1,0,8,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,0,4,0,0,1,1,0,0,0,1,0,2,9,1,0,0,0,0
food_and_drink,1,3,0,0,0,2,0,2,2,2,0,1,3,7,0,1,2,0,2,0,0,0,1,0,6,4,0,1,0,0,2,0,1,2,1,0,3,2,4,0,2,2,4,1,0,2,0,3,3,0,3,2,0,0,1
conferences_and_other_events,6,0,6,3,0,0,0,2,2,2,0,3,1,4,0,3,1,0,1,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,8,1,1,3,4,0,1,1,0,2,0,0,0,0,0,4,0,2,0,2,1
gaming,1,5,0,0,0,9,0,1,0,0,1,1,1,7,0,0,3,0,4,1,2,0,1,4,1,5,0,4,0,1,1,0,4,3,1,3,6,0,7,1,3,3,6,0,0,1,1,2,4,0,3,2,0,5,2
literature,7,0,1,1,0,0,6,6,1,0,3,0,0,0,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,1,0,0,0,0,0,13
business,2,2,7,3,1,0,1,0,15,0,4,0,1,1,0,2,3,5,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,12,0,3,0,1,0,0,0,1,0,1,0,0,0,1,5,0,2,0,2,2
the_mainstream_media,0,1,9,4,0,1,1,1,10,3,0,0,3,3,0,1,7,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,4,1,0,2,4,0,14,0,0,1,0,1,0,0,2,3,0,2,0,0,1
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,3,6,0,3,0,6,0,1,2,1,0,1,2,0,0,28,3,0,7,0,2,1,4,0,0,3,0,4,0,0,2,0,3,3,6,2,4,3,2,0,4,2,8,0,6,3,4,2,4,0,5,2,0,0,1
default_category,23,17,22,11,5,14,13,7,13,16,20,17,11,26,0,4,15,7,19,0,3,17,5,3,14,20,1,10,0,0,19,1,5,12,33,10,11,18,21,2,13,13,11,14,3,14,4,11,17,29,9,16,0,17,24
videoblogging,2,6,8,1,0,17,3,2,7,4,3,10,0,11,0,1,4,1,7,0,2,4,1,0,5,4,0,6,0,0,4,0,4,13,6,3,1,2,18,0,8,6,2,1,1,14,4,1,14,15,3,5,1,4,3
documentary,0,3,3,2,0,4,0,1,4,1,0,2,1,7,0,0,0,0,2,0,0,2,5,1,1,5,0,4,0,0,1,0,2,3,1,6,4,1,5,0,3,3,3,3,1,1,1,3,8,3,1,2,0,1,4
