category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
the_environment,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,18,1,4,0,0,0,0,1,0,0,0,0,2,0
school_and_education,0,1,1,0,0,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,1,1,10,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,6,0,1,0,5,0,0,3,0,0,0,0,2,1,0,0,1,0
health,0,1,2,0,4,0,0,1,1,0,0,1,1,5,1,9,3,0,1,0,0,1,3,0,0,2,0,8,0,1,3,1,4,0,2,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,1,0,3,5,0,0,1,3,0,0,0,1,4
citizen_journalism,2,1,3,0,0,2,0,1,2,0,3,2,9,1,0,3,3,0,0,10,0,1,2,0,0,3,11,1,0,0,16,2,1,1,0,1,0,1,0,0,0,5,0,1,0,4,0,3,0,0,0,0,9,2,2,2,2,4,0,0,2,0,3,1,1,0,0,2,1,5
personal_or_auto-biographical,8,0,2,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,4,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,5,0,3,0,0,1,0,0,1,1,1,1,0,0,0,0
food_and_drink,0,2,0,2,0,1,0,3,4,0,0,3,0,2,0,3,1,0,1,0,0,2,2,0,0,0,0,4,0,0,2,1,6,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,2,0,0,0,0,1,7,2,0,2,1,1,1,1,5,4,1,0,0,0,1,0
conferences_and_other_events,1,0,1,0,1,5,4,0,2,0,0,1,1,1,0,2,2,0,0,0,0,3,0,0,0,4,0,0,0,4,2,0,5,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,2,3,0,6,1,0,1,0,0,1,8,0,3,0,0,0,0
gaming,0,0,0,1,0,0,2,2,0,0,0,3,2,3,4,1,0,2,3,0,4,7,6,1,1,1,0,5,0,1,2,2,2,2,0,0,0,3,0,3,7,1,4,1,0,1,0,0,5,1,0,1,0,0,0,4,4,3,2,0,3,0,3,1,2,0,0,1,2,1
literature,0,0,9,6,0,2,0,0,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,13,0,0,3,1,0,0,0,6,11,1,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0
business,1,1,3,0,0,14,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,5,1,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,3,0,2,1,16,1,0,0,0,1,3,0,1,4,0,0,2,0
the_mainstream_media,2,2,1,0,0,4,0,0,2,0,2,1,0,0,3,1,4,0,0,0,0,4,0,0,0,4,0,0,0,1,0,10,1,0,9,0,0,0,0,1,1,6,2,0,0,3,0,0,1,0,0,0,0,0,0,0,12,1,1,2,0,0,1,1,2,0,0,1,0,1
autos_and_vehicles,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
comedy,0,1,0,2,2,1,33,2,2,0,0,3,0,4,0,1,1,0,3,0,2,1,5,0,0,1,0,7,0,2,2,3,2,3,1,0,0,4,0,2,4,2,1,1,1,0,6,0,5,1,0,0,1,0,0,4,1,5,4,4,3,0,4,1,0,2,0,0,1,2
default_category,9,6,18,13,6,12,19,10,12,0,18,13,4,6,13,8,16,3,4,5,18,14,10,2,0,8,7,6,0,7,13,11,16,7,19,0,1,4,1,10,11,12,11,3,13,14,3,8,10,0,0,0,15,16,18,14,20,13,6,9,9,3,15,17,13,32,0,8,10,8
videoblogging,7,0,4,5,2,2,3,1,5,1,4,6,0,1,4,0,2,0,2,0,8,13,5,0,0,1,1,2,0,1,1,3,8,3,6,0,0,4,0,2,13,2,4,0,4,8,1,1,11,2,0,0,3,2,7,5,7,5,3,3,6,1,9,3,6,10,0,11,7,1
documentary,0,1,2,0,1,1,0,3,1,0,1,2,0,0,3,0,0,1,2,0,3,3,5,0,0,0,0,3,0,0,5,1,4,1,2,0,0,0,0,6,3,3,1,0,1,2,2,2,5,0,0,0,1,1,3,2,3,2,5,4,4,2,4,2,2,2,0,0,0,1
