video,shot_number,category,cluster,interactions_number_speakers_2,interactions_number_speakers_3,interactions_number_speakers_4,interactions_number_speakers_4+,intervention_short,intervention_long,speakers_type_ponctuel,speakers_type_localise,speakers_type_present,speakers_type_regulier,speakers_type_important,speaker_distribution,mean_number_of_faces,std_number_of_faces,inter_intensity_variation,intra_intensity_variation,number_shot_transition,number_speaker_transition,speech,music,speech_with_music,speech_with_non_music,non_speech_with_music,non_speech_with_non_music,words,duration
Lauraflanders-GRITtvPanelIraqVeteransAgainstTheWar554.xml,1,politics,24,0.0,0.0,0.0,99.65,0.0,0.0,0.0,0.0,0.57,35.18,63.71,100.0,17.625,13.75624858019075,35.15686274508889,10.108932461883333,585.296216988,2.56959314775,97.81,10.75,10.16,87.62,0.59,1.47,31.8586387435,12.3251517551
Viewzi-DavidNunezOfDeLaMaquina719.xml,1,technology,13,0.0,0.0,0.0,0.0,9.79,0.0,0.0,9.79,0.0,0.0,0.0,100.0,2.3333333333333335,2.6246692913372702,41.589978213500004,25.09803921567778,1044.7761194,0.0,18.22,85.22,14.22,3.04,71.0,9.34,0.0130890052356,0.589425530043
KELLYTV-IFIWASYOURMANBYJOE111.xml,1,music_and_entertainment,0,0.0,0.0,0.0,0.0,0.0,84.98,0.0,0.0,0.0,0.0,84.98,100.0,11.8,9.620810776644554,35.25315904137777,15.904139433544445,1446.28099174,0.0,61.3,49.01,27.03,34.06,21.98,15.61,0.0130890052356,2.12896982493
Henrichy0205blip-InterviewWithDesignerRobertStadler493.xml,1,art,10,96.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.18,100.0,23.333333333333332,15.912957683040016,38.77342047931111,11.416122004363334,175.0,0.0,69.62,21.92,13.4,56.17,8.53,21.53,7.57853403141,3.51895838832
Publicdomain-advertisment_newport_cigarettes_3657.xml,1,movies_and_television,19,0.0,0.0,0.0,0.0,2.59,18.43,0.0,18.43,2.59,0.0,0.0,100.0,0.0,0.0,48.45490196076666,15.51198257081111,327.868852459,1.6393442623,37.7,82.95,24.11,13.54,58.84,0.23,0.274869109948,0.536641154218
ReporterRoundtable-RREps220375.xml,1,citizen_journalism,21,1.86,0.0,0.0,93.97,0.35,1.53,0.0,0.0,27.74,49.43,19.52,100.0,22.903225806451612,21.084094048648076,31.895860566455553,19.04139433551111,1230.13537375,4.47321954091,67.74,30.54,20.13,47.61,10.42,21.75,38.0366492147,14.9467757544
Courosa-OpenDoctrineK12OnlineConferencePresentationTeaserEdupun628.xml,1,default_category,13,0.0,10.74,0.0,46.1,13.41,11.68,0.0,0.0,0.0,13.8,65.08,100.0,5.5,4.5661800227323495,41.81176470588888,21.39433551198889,1086.95652174,2.60869565217,83.73,27.83,15.02,68.7,12.81,2.82,4.24083769634,2.02340107328
PDXK-DepavingDayAtCarfreeConference575.xml,1,citizen_journalism,0,0.0,0.0,0.0,0.0,10.71,22.09,0.0,0.0,3.89,0.0,28.91,100.0,15.166666666666666,12.20541774058644,36.29237472767778,19.30283224401111,1578.94736842,2.63157894737,24.98,84.21,12.58,12.39,71.63,1.82,0.549738219895,1.00290314067
Thatsportsshowhd-ThatSportsShowWhyWeDontWatchSoccer687.xml,1,sports,32,25.51,26.66,0.0,0.0,13.24,0.0,2.15,0.0,20.67,2.77,38.86,100.0,5.666666666666667,5.270462766947299,37.77603485836667,18.169934640511112,1673.81974249,4.29184549356,54.48,78.07,35.9,18.48,42.17,2.77,2.93193717277,2.04979326119
Web2Expo-Web20Expo2008MattCuttsGoogle931.xml,1,technology,31,0.0,0.0,0.0,0.0,0.35,97.93,0.0,0.0,0.0,0.0,98.28,100.0,1.5,1.5,22.141176470582224,3.8344226579527785,25.5754475703,0.0,94.83,35.32,32.43,62.39,2.89,2.06,15.2356020942,6.87956364916
Politicallunch-PoliticalLunch031109MixedMessageWednesday142.xml,1,politics,24,0.0,0.0,0.0,95.06,0.0,0.0,0.0,0.0,2.19,0.0,92.7,100.0,24.833333333333332,14.746939418815762,45.72897603486667,19.346405228755557,669.144981413,10.4089219331,90.94,8.96,4.2,86.74,4.76,3.85,5.92931937173,2.36649951614
Shantell-TestToneVol41NikkasenMitsuruTabataTatsuhisaYamamotoKe114.xml,1,art,10,0.48,1.69,1.67,78.82,4.12,0.0,0.0,0.0,0.0,5.73,74.05,100.0,13.0,8.774964387392123,13.088453159026667,3.616557734207778,133.333333333,10.6666666667,81.68,47.67,30.73,50.95,16.94,1.22,6.53141361257,5.27843758248
Web2summit-Web20Summit08JohnBattelleFederatedMediaPublishingElonM681.xml,1,technology,8,4.32,2.44,1.8,84.83,1.29,1.58,0.0,0.0,14.05,3.28,77.17,100.0,4.222222222222222,2.973130702279923,39.3882352941,12.897603485833335,328.80315651,7.97895659798,92.33,16.05,12.16,80.16,3.88,3.71,46.8717277487,20.0668602094
Politicallunch-PoliticalLunch092208FinancialCrisis390.xml,1,politics,15,0.0,0.0,0.0,0.0,0.0,96.91,96.91,0.0,0.0,0.0,0.0,100.0,2.3333333333333335,1.699673171197595,55.87625272331112,21.69934640523333,385.852090032,0.0,91.03,9.87,6.95,84.08,2.92,5.53,6.43979057592,2.73599014692
Mandalorian30-PixelDanReviewStarTrekCereal868.xml,1,default_category,7,0.0,0.0,0.0,0.0,8.81,65.62,0.0,0.0,13.02,0.0,61.41,100.0,12.0,15.215124054702938,48.00871459695556,13.681917211333332,2121.21212121,1.21212121212,66.43,62.06,30.94,35.41,31.12,2.22,2.55235602094,1.45157033518
Dailyamericannews-BuffaloSoldiersHonorTheWarriorsAboardFlight93630.xml,1,educational,13,19.99,0.0,11.55,0.0,2.94,3.86,0.0,17.32,20.75,0.0,0.0,100.0,3.5,3.5,44.677124183000004,30.54466230935556,1092.15017065,2.73037542662,6.5,83.58,3.98,2.51,79.6,13.47,0.366492146597,2.57763701944
Truthout-KeithOlbermannOnTheToneOfThePresidentialRace513.xml,1,politics,31,0.0,0.0,0.0,99.97,0.0,0.0,0.0,0.0,0.53,27.42,69.51,100.0,1.0,1.0,36.063616557734434,7.015250544667777,13.221683561,13.133539004,93.49,15.57,14.01,79.45,1.55,4.91,50.6413612565,19.9612914577
Spotspot-ScottDravesSoftwareArtworks19922008996.xml,1,default_category,19,4.99,0.0,17.17,0.0,12.76,12.74,0.0,0.0,8.32,11.05,27.4,100.0,2.6666666666666665,1.9720265943665387,32.859259259266665,21.786492374711113,460.704607046,2.9810298103,39.13,83.31,26.56,12.43,56.74,2.93,0.0130890052356,3.24623911322
GVTVNEWS-GVTVNews050508NCTV11622.xml,1,movies_and_television,5,0.72,9.63,0.92,59.85,2.99,10.87,0.0,0.0,3.91,16.22,61.7,100.0,22.9,16.306133815224257,7.577777777777778,12.897603485837777,784.88372093,7.09302325581,74.87,31.49,17.82,57.05,13.67,10.95,34.3848167539,15.1315210698
Grouchobeer-RedVsBlue505.xml,1,comedy,8,6.84,0.0,1.38,80.85,0.29,0.0,0.0,0.0,2.66,59.97,24.84,100.0,12.25,12.173228823939851,41.71372549017778,15.7734204793,425.867507886,10.8832807571,84.34,22.26,13.91,70.42,8.34,7.12,11.9633507853,5.57754904548
Scriggity-scriggityShauna3sMcdonalds622.xml,1,citizen_journalism,3,0.0,0.0,0.0,0.0,5.87,0.0,4.72,0.0,1.15,0.0,0.0,100.0,19.142857142857142,20.01020147987786,24.892374727666667,21.786492374711113,3207.54716981,1.88679245283,53.66,52.64,12.15,40.5,40.49,4.6,0.0916230366492,0.466261986452
BURNcast-BURNcastTV008KevissimoOnThePastAndFutureOfBurningMan613.xml,1,travel,30,0.0,0.0,0.0,93.56,1.83,0.0,0.0,0.0,2.61,14.54,77.29,100.0,10.5,8.51958527942137,45.15860566448888,20.130718954244443,231.481481481,5.55555555556,42.17,41.85,19.57,22.6,22.28,35.18,9.50261780105,3.80047505938
Podjumper-TheBestMenAreAlwaysGay985.xml,1,default_category,31,0.0,0.0,0.0,85.14,3.13,0.0,0.0,0.0,1.21,1.51,82.11,100.0,1.0,1.0,20.802614379088887,9.629629629634444,38.7596899225,6.39534883721,82.63,55.33,41.22,41.31,14.11,3.01,10.4581151832,4.53945632093
Legourmettv-CleaningMussels450.xml,1,food_and_drink,28,7.89,0.0,0.0,0.0,8.4,16.24,0.0,0.0,3.42,0.0,26.27,100.0,4.2,4.4,23.85620915032222,23.311546840955558,967.741935484,3.22580645161,61.87,35.0,17.56,44.27,17.44,17.66,0.497382198953,0.545438550189
Albarra-MeanValueTheorem1456.xml,1,educational,25,10.53,16.44,3.18,28.96,7.25,3.33,0.0,0.0,2.55,5.72,55.65,100.0,0.0,0.0,90.96906318083332,25.18518518518889,216.919739696,10.8459869848,9.67,50.56,2.57,7.1,48.0,41.2,5.27486910995,4.05559954254
SPI-WednesdaySeptember172008705.xml,1,sports,31,0.0,0.0,0.0,98.04,0.0,0.0,0.0,0.0,0.08,19.18,77.32,100.0,4.0,4.320493798938574,4.9673202614406655,12.113289760358889,17.2860847018,4.58081244598,92.13,11.69,9.95,82.17,1.74,5.71,25.8638743455,10.1785871382
Crashsolo-OneMinuteTheLocalNews189.xml,1,literature,15,0.0,0.0,0.0,0.0,0.0,94.91,94.91,0.0,0.0,0.0,0.0,100.0,13.333333333333334,9.46337971105226,15.023965141597778,21.830065359469998,512.820512821,0.0,64.14,21.41,12.55,51.59,8.86,24.31,1.12565445026,0.686196885722
Helpmycashgrow-Season1Episode8GuestSpeakerJoshuaHamm138.xml,1,videoblogging,13,34.45,0.0,0.0,0.0,0.0,36.52,0.0,0.0,0.0,0.0,70.44,100.0,9.666666666666666,6.182412330330469,26.723311546833333,15.03267973857111,1153.84615385,1.53846153846,23.98,92.31,20.08,3.85,72.23,2.92,1.51832460733,1.1436614762
Politicallunch-PoliticalLunchFlashbackGOPPrimaryDebate591.xml,1,politics,24,8.0,9.76,0.0,59.98,0.51,8.04,0.0,0.0,1.21,15.94,67.67,100.0,5.4,4.715930449020639,41.59084967321112,21.48148148147778,705.128205128,7.37179487179,83.29,21.54,9.89,73.39,11.65,4.59,6.15183246073,2.74478754289
Crashsolo-OneMinuteJupiter166.xml,1,literature,23,0.0,0.0,0.0,0.0,0.0,92.57,92.57,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.620915032680001,0.0,0.0,0.0,47.21,29.12,10.51,36.7,18.61,30.06,1.15183246073,0.598222926014
Nitaai-JanmashtamiKirtana2007853.xml,1,religion,19,1.85,0.0,0.0,0.0,4.38,17.07,0.0,0.0,4.58,6.8,11.89,100.0,6.2,6.20966987850401,43.66710239651112,26.230936819177778,355.029585799,1.30177514793,28.95,95.55,26.5,2.39,69.05,1.85,4.4109947644,7.43379959532
Missomething-PinTheTailOnTheBeaver118.xml,1,default_category,20,0.0,0.0,0.0,0.0,5.21,70.64,20.9,0.0,11.82,0.0,43.14,100.0,19.75,20.06707502353046,10.163834422657779,10.10893246186111,593.75,1.25,56.44,43.25,13.67,42.61,29.58,13.58,5.66753926702,2.81516671065
TheJAMAREPORT-STUDYSHOWSCHANGEINLIFESYTLEHABITS389.xml,1,health,0,0.0,0.0,0.0,96.68,1.44,0.0,0.0,0.0,0.0,42.31,53.97,100.0,4.25,3.6314597615834874,35.925925925933335,15.555555555565556,1510.79136691,10.071942446,78.22,37.77,19.77,58.44,18.0,2.64,2.51308900524,1.22283803994
Politicallunch-PoliticalLunch032709InterwebsWeedsAndNotreDame773.xml,1,politics,29,0.0,0.0,0.0,95.78,1.5,0.0,0.0,0.0,7.89,0.0,88.87,100.0,21.285714285714285,13.144409846169651,44.01960784313334,11.328976034875554,524.590163934,7.86885245902,86.78,11.8,3.95,82.83,7.86,4.71,7.00261780105,2.68320577109
Telkes-NetSzemlehu600.xml,1,documentary,15,0.0,99.36,0.0,0.0,0.0,0.0,86.25,0.0,0.0,12.48,0.0,100.0,0.0,0.0,41.731154684088885,9.847494553373332,340.909090909,2.27272727273,85.05,16.82,5.55,79.5,11.26,1.86,2.46073298429,0.77417084543
Redmonk-SAPsCSOPeterGrafOnEnvironmentalHealthSafetyManagement908.xml,1,technology,31,0.0,0.0,0.0,97.02,0.0,0.0,0.0,0.0,0.0,0.0,96.7,100.0,2.5,0.5,53.34596949891111,6.579520697167778,26.3852242744,2.11081794195,96.96,17.12,15.74,81.1,1.38,0.17,7.57853403141,3.33421307293
Culinarymedia-QuickBitesHawaiiDay1729.xml,1,travel,15,0.0,89.83,0.0,0.0,0.62,0.0,61.27,0.0,2.97,0.0,26.21,100.0,2.0,2.0,42.63660130722222,14.466230936804445,472.440944882,2.36220472441,79.34,16.85,7.27,72.07,9.58,9.9,2.42146596859,1.11726928829
KELLYTV-FromNBAToBillboardRonArtestBlowingUp526.xml,1,music_and_entertainment,18,0.0,0.0,0.0,91.54,0.62,0.0,19.33,37.81,1.13,12.79,18.62,100.0,14.428571428571429,12.018126898550367,31.0074074074,14.509803921574441,5400.84388186,4.2194092827,2.89,97.38,2.63,0.0,94.76,1.01,2.36910994764,2.08498284508
UBM-02003PerfectionThroughChrist2FaithVersusManifestation549.xml,1,religion,22,0.0,0.93,0.0,96.97,0.0,1.11,0.0,0.0,0.28,96.43,0.0,100.0,3.0,2.160246899469287,37.36949891067778,22.17864923745556,206.837115771,38.5234128124,45.35,27.12,6.08,39.26,21.03,33.57,58.7172774869,30.6237353743
Kevinswancom-KISSOlsVsNewPackaging490.xml,1,educational,28,0.0,17.07,0.0,0.0,25.13,5.92,0.53,0.0,0.0,6.62,39.15,100.0,1.0,1.0,34.4936819172,16.514161220066665,947.368421053,7.89473684211,20.61,79.0,12.76,7.84,66.24,12.47,0.497382198953,1.67150523445
Stupidfamouspeople-AngelinaJolieSignsAutographsOutsideTheChangelingMoviePre561.xml,1,music_and_entertainment,25,0.0,0.0,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,23.75,100.0,4.5,4.5,28.30283224398889,15.468409586045558,165.289256198,0.0,6.19,94.96,6.09,0.1,88.87,0.23,0.0130890052356,1.06448491247
Infowarriorchannel-Karen_Russo_on_Alex_Jones_Tv_2_4_Wrongful_Death_Issues___The_Pri642.xml,1,the_mainstream_media,31,0.0,1.22,0.0,97.62,0.0,0.0,0.0,0.0,18.26,22.02,56.49,100.0,1.0,1.0,24.16819172112222,12.156862745096667,15.1975683891,5.62310030395,83.02,28.83,21.85,61.12,6.98,9.93,14.5942408377,5.78868654878
Gnewsome-FBCKMFEB222009102.xml,1,religion,22,0.0,0.14,0.0,97.73,0.06,0.0,0.0,0.0,0.72,46.05,48.02,100.0,3.625,2.496873044429772,13.313725490201113,13.289760348564444,199.468085106,11.0372340426,91.38,41.97,36.17,55.2,5.8,2.76,43.0104712042,19.8469253101
Publicdomain-advertisment_sunbeam_bread_6984.xml,1,movies_and_television,24,91.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.81,100.0,0.0,0.0,34.87755991286667,19.520697167755557,645.161290323,0.0,94.41,10.32,10.19,84.17,0.13,3.25,1.29581151832,0.545438550189
Kcscienceinc-KCScienceINC897.xml,1,documentary,29,0.0,13.56,0.0,62.49,1.53,0.0,0.0,0.0,4.92,0.0,71.18,100.0,5.0,5.0990195135927845,46.38997821348889,16.90631808277778,465.11627907,4.31893687708,75.24,47.31,25.52,49.72,21.79,2.21,4.62041884817,2.64801618721
ShoutingBlueTiger-ToBeFree2493.xml,1,personal_or_auto-biographical,1,2.94,0.0,0.0,88.42,0.0,0.0,0.0,0.0,5.38,7.74,67.95,100.0,0.0,0.0,17.269281045751114,5.446623093686666,48.4261501211,43.583535109,0.93,97.8,0.84,0.08,96.96,1.83,3.06282722513,3.63332453594
UBM-02139SanctificationBeforeBlessing9837.xml,1,religion,22,0.37,0.0,1.15,72.04,0.0,0.66,0.0,0.0,9.81,42.7,18.14,100.0,9.428571428571429,7.631834508110332,16.12766884531111,12.810457516332223,158.000574548,4.76874461362,69.12,30.09,25.94,43.15,4.15,2.51,45.9031413613,30.6237353743
Jumplynx-11VistaBlackberryStyledBackgroundsJumplynxVideoTutorial219.xml,1,art,17,11.55,9.55,0.69,0.0,14.17,9.61,0.0,0.0,0.08,2.37,40.61,100.0,0.0,0.0,38.32897603487778,17.6034858388,79.006772009,1.74943566591,25.91,52.94,7.62,18.28,45.32,28.68,17.4083769634,15.5889856602
Stupidfamouspeople-PaparazziFootageOfKellyRutherfordWithHusbandAndBabySon620.xml,1,music_and_entertainment,13,0.0,0.0,0.0,0.0,0.0,81.91,81.91,0.0,0.0,0.0,0.0,100.0,15.0,10.816653826391969,12.964705882355556,7.7124183006588884,1071.42857143,0.0,8.8,84.64,7.66,0.23,76.99,3.7,0.0130890052356,0.492654174364
Etopianewsnow-GerryWolffAtTRECUKUpdatesTheDesertecStory381.xml,1,the_environment,31,13.86,9.86,6.58,15.17,5.95,12.48,0.0,0.0,0.0,10.97,52.38,100.0,0.0,0.0,2.4549019607841114,2.745098039216667,44.2477876106,3.00884955752,99.03,14.65,14.12,84.82,0.54,0.38,14.6727748691,9.941057447
UBM-02088AnxietyAndFear01293.xml,1,religion,33,0.17,2.15,0.35,91.73,0.26,3.04,0.02,0.0,0.02,70.73,23.06,100.0,2.0,2.0,32.19084967321111,18.69281045751111,83.3093938523,13.2433208848,92.95,29.43,24.88,68.07,4.56,2.45,59.3586387435,30.6237353743
Spcbrass-AirWaterMovement356.xml,1,music_and_entertainment,30,0.0,0.0,0.0,0.0,31.65,0.0,0.0,0.0,0.0,0.0,31.65,100.0,0.0,0.0,29.157298474933334,14.596949891076665,314.960629921,0.0,78.84,42.2,29.12,49.31,13.08,6.91,0.876963350785,1.11726928829
Samibengharbia-GVsummit08BudapestIsaacMaoOnTheDigitalNomadsProject568.xml,1,citizen_journalism,10,9.91,7.19,22.22,12.85,2.7,32.67,0.0,0.0,2.81,0.0,82.71,100.0,2.5,2.5,41.48540305012223,13.333333333333334,145.137880987,0.290275761974,80.42,70.77,55.58,24.78,15.19,3.63,9.80366492147,6.06140582388
TheJAMAREPORT-STUDYFINDSHIGHDOSEINTAKEOFTHREEBVITAMINSDOESNOTREDUCE116.xml,1,health,24,0.0,0.0,0.0,84.21,0.0,0.0,0.0,0.0,4.43,14.98,64.43,100.0,13.5,8.381527307120106,35.18431372551111,16.862745098055555,583.941605839,7.29927007299,83.94,19.27,5.58,78.36,13.69,0.98,2.42146596859,1.205243248
Jekotv-CircleOfPerfection624.xml,1,music_and_entertainment,0,26.09,3.73,18.79,0.0,3.37,29.4,0.0,32.77,11.2,16.94,18.73,100.0,19.928571428571427,13.81492094860939,21.502832244011113,9.934640522866665,1438.51508121,3.0162412993,83.36,68.86,55.76,27.47,13.1,3.39,10.0261780105,3.79167766341
Markalandooley-IntoTheDawn837.xml,1,music_and_entertainment,30,0.0,98.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.27,100.0,1.75,1.479019945774904,80.93769063181111,4.5751633986955555,241.379310345,0.0,97.82,10.59,9.2,88.57,1.39,0.46,6.41361256545,2.55124483153
Flashtuts-FinalWord716.xml,1,educational,22,0.94,0.96,0.0,86.38,1.87,0.0,0.0,0.0,0.19,86.79,0.0,100.0,0.5,0.5,82.0174291938889,2.9629629629644447,220.0,18.8,84.18,24.43,14.98,69.17,9.45,6.31,57.002617801,26.3921879124
Dickydelhoyo-ElDaDespusDeLasEleccionesConLosResultadosEnLaManoCul680.xml,1,default_category,10,0.0,90.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72,100.0,0.0,0.0,42.07320261438889,26.97167755991111,200.0,0.0,88.38,55.9,50.11,37.76,5.79,1.04,2.97120418848,0.879739597079
Shinchi-ILoveRIAction980.xml,1,web_development_and_sites,13,0.0,10.63,0.0,61.97,2.75,3.36,0.0,15.68,23.78,5.17,32.64,100.0,19.944444444444443,16.64155515643569,40.162527233122226,20.0,1148.82506527,4.96083550914,40.18,59.4,13.28,26.87,46.12,13.47,6.19109947644,3.36940265681
VL-ArrancaElIFestivalDeHumorLatinoCambridgeBoston2009642.xml,1,music_and_entertainment,22,8.33,0.0,13.13,60.93,0.6,1.22,0.0,0.0,3.12,22.38,56.37,100.0,11.125,10.276642204533541,22.960784313733335,19.956427015244444,193.68723099,4.5193687231,70.37,71.61,46.18,24.19,25.43,4.08,34.1492146597,12.2635699833
TiburonTV-MathysVanAbbeSpot2beSIME08646.xml,1,business,31,0.0,0.0,0.0,96.86,0.0,0.0,0.0,0.0,0.0,17.46,78.87,100.0,1.5,1.5,48.83572984747778,23.572984749455557,50.3778337531,5.28967254408,95.38,27.05,24.95,70.42,2.11,2.04,8.15445026178,3.4925662004
Albarra-QuranPart2675.xml,1,educational,20,23.54,0.0,24.58,10.01,4.19,22.27,0.0,0.0,0.0,13.9,67.47,100.0,5.5,5.5,88.95816993463332,8.409586056643334,546.318289786,3.80047505938,41.58,49.14,20.57,21.0,28.58,29.57,3.99214659686,3.7037037037
Politicallunch-PoliticalLunch051809NotreDameAndUnhappyDems224.xml,1,politics,8,0.0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,3.93,8.24,85.52,100.0,8.666666666666666,6.182412330330469,54.437472766888895,22.13507625273333,412.698412698,9.52380952381,92.18,12.38,8.01,84.17,4.37,2.84,6.79319371728,2.7711797308
TICT-SocialNetworking501.xml,1,educational,31,0.0,0.0,0.0,99.58,0.0,0.0,0.0,0.0,0.0,17.79,81.05,100.0,0.0,0.0,8.17342047929889,16.68845315902222,8.2304526749,7.32510288066,95.93,32.58,29.77,66.16,3.01,1.06,21.7670157068,10.6888361045
Avidcruiser-StockholmOffersEasyAccess116.xml,1,default_category,28,55.36,0.0,0.0,0.0,0.0,0.0,45.69,0.0,9.67,0.0,0.0,100.0,1.0,1.0,22.232679738555554,14.161220043579998,987.654320988,1.23456790123,33.74,56.79,8.61,24.55,48.18,16.81,0.667539267016,0.712589073634
G0tmi1k-VideoTutorialHowToSnifffSSLHTTPSSslstrip646.xml,1,technology,13,0.0,0.0,14.54,17.14,0.35,2.79,0.24,7.63,9.46,3.2,13.86,100.0,8.454545454545455,11.064797877327706,12.780392156856665,11.067538126364447,1173.07692308,3.84615384615,28.77,13.73,4.82,23.88,8.91,3.73,4.39790575916,4.57464590481
