category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
the_environment,0,0,2,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,4,1,0,2,0,0,0,1,4,0,0,0,0,0
school_and_education,0,0,0,2,1,0,0,0,1,0,0,0,1,2,1,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,4,0,2,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,1,7,0,1,2,0,0,3,0,1,1,0,2,0,1,1,0,0,0,0
health,0,0,1,1,2,0,0,0,1,5,1,1,0,0,1,9,0,0,7,1,0,0,1,0,0,0,0,2,5,1,2,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,1,3,3,5,0,3,1,4,3,0,1,0,1,0,5,0,0,0
citizen_journalism,1,2,0,11,1,1,0,4,1,0,8,3,0,4,2,1,0,3,4,0,0,0,3,1,0,0,0,4,13,1,5,4,0,0,1,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,4,0,5,0,0,3,1,1,0,1,0,1,6,1,14
personal_or_auto-biographical,0,0,1,0,1,0,3,0,0,2,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,1,1,1,0,1,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,5,1,4,0,0,0,0,0,1,0,1,8,0
food_and_drink,0,2,5,0,1,0,3,0,2,0,0,1,0,0,1,2,1,0,3,0,0,2,1,3,0,1,1,2,2,1,1,1,1,0,4,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,3,0,1,3,2,3,0,5,0,6,0,0,1,0,1,0,2,3,0,0
conferences_and_other_events,0,2,1,1,0,0,8,1,2,1,0,1,2,2,0,0,2,0,1,1,0,0,2,0,0,1,0,0,1,4,5,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,4,0,2,3,0,0,0,6,0,2,2,2,0
gaming,3,1,3,0,3,0,1,1,1,1,0,4,5,1,1,2,0,1,2,5,1,4,2,2,0,4,4,2,2,1,0,0,1,2,5,0,0,4,2,0,1,0,1,2,0,6,2,2,0,0,4,0,3,1,3,2,1,1,0,1,0,2,1,0,1,0,4,1,0,0
literature,0,6,2,3,0,6,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,1,10,0,0,0,0
business,0,0,1,0,1,1,2,0,1,0,1,0,2,1,0,0,0,5,0,1,0,0,3,0,0,0,1,0,1,0,11,0,1,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,2,0,1,3,0,0,2,0,0,1,0,1,0,0,3,1,13,0,0,3,4,5
the_mainstream_media,0,0,2,0,3,1,0,2,3,0,0,0,0,1,0,0,1,0,0,1,0,1,12,0,0,1,0,5,0,0,10,1,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,2,5,0,5,0,8,0,2,1,3,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
comedy,1,1,2,0,2,0,3,2,2,2,0,3,0,1,4,3,1,2,2,0,0,2,1,2,0,4,4,1,2,1,1,0,2,0,1,0,0,1,1,1,0,0,1,5,0,5,2,2,30,0,3,0,5,3,2,5,0,0,5,0,3,1,5,4,3,1,2,1,0,0
default_category,3,7,12,6,6,13,28,10,9,7,7,3,16,20,13,8,10,6,7,13,0,7,15,11,0,18,10,13,13,10,17,15,18,6,14,0,1,12,5,12,0,0,5,7,0,9,3,9,3,1,4,12,7,13,14,9,2,16,3,14,16,1,14,1,33,14,12,9,21,7
videoblogging,2,1,14,1,11,3,3,1,0,1,0,5,3,2,12,1,1,0,1,2,0,15,4,1,0,11,2,4,1,3,7,1,3,3,14,0,0,5,0,4,0,1,2,2,0,5,2,5,1,0,2,2,3,4,5,2,0,14,2,11,1,2,3,1,6,4,3,3,13,1
documentary,1,1,7,2,2,0,0,1,1,2,0,4,1,1,1,0,1,0,4,4,0,3,3,3,0,2,2,1,5,0,3,2,1,4,3,0,0,2,0,2,0,0,0,1,0,2,2,1,0,0,2,0,5,0,6,2,0,4,1,3,0,0,0,1,1,2,2,1,3,0
