category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
health,1,0,0,0,0,1,1,0,0,0,2,0,2,0,4,0,1,0,0,1,0,2,0,4,0,2,1,0,2,1,18,7,0,1,1,0,0,23,0,0,1,0,0,1,0,0,0,0,2,0,3,0,0,2,0,1,0,1,0,0,1,1,0,0,0
literature,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,7,0,0,1,3,0,1,1,17,1,2,1,0,0,0,0,0,4,1,18,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,10,0,1,0,4,0,0
movies_and_television,18,0,3,0,2,3,1,0,1,5,5,1,1,0,3,5,25,5,35,2,0,20,1,1,0,7,1,0,1,1,0,6,4,12,1,0,0,2,2,0,2,0,0,11,1,1,1,0,32,0,1,10,2,5,0,3,2,4,8,4,0,6,1,0,4
music_and_entertainment,6,0,9,0,2,1,0,0,29,0,4,2,2,0,0,1,4,9,4,2,3,14,3,1,2,4,1,3,0,1,4,49,2,9,1,0,5,0,1,3,1,0,2,7,1,7,1,10,34,0,4,26,1,4,14,7,1,6,1,3,6,0,3,0,2
personal_or_auto-biographical,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,1,5,0,2,4,0,1,0,0,0,1,3,0,1,1,0,0,0,1,5,0,0,1,0,2,2,0,3,2,0,0,1,1,2,0,1,1,0,0,0,2,0,0,0,0
politics,3,0,0,0,0,2,50,3,0,0,16,3,11,57,16,1,2,0,4,1,5,1,0,16,0,21,12,0,5,5,4,1,2,1,27,0,0,133,4,0,11,5,2,20,1,2,2,1,2,9,8,0,10,6,0,0,6,33,6,0,1,54,7,3,0
religion,5,0,4,0,13,1,0,1,0,0,1,0,4,0,5,1,8,0,4,2,0,4,0,1,0,12,1,0,5,2,1,16,0,12,1,0,0,0,2,0,0,0,1,19,1,0,56,10,21,0,0,0,0,9,0,6,0,5,0,6,3,5,1,12,2
school_and_education,1,0,1,2,3,2,0,3,0,0,2,1,1,0,1,0,1,0,2,0,0,6,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,0,9,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
sports,6,0,2,0,1,4,0,3,1,1,3,0,13,0,2,1,3,2,7,3,0,10,0,2,0,3,4,1,4,0,5,18,3,5,6,0,1,4,0,0,5,4,1,3,1,9,1,5,6,0,8,11,2,1,0,4,2,0,2,1,1,9,1,0,4
technology,6,0,5,22,10,3,1,13,4,2,3,6,25,0,28,1,6,0,13,1,5,10,1,1,5,15,5,0,3,0,1,12,4,5,2,0,0,6,11,2,4,2,10,9,28,3,5,5,11,0,7,5,5,19,1,10,4,10,2,1,9,18,1,0,1
the_environment,0,0,3,0,0,10,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,2,5,1,0,0
the_mainstream_media,0,0,2,0,0,8,0,0,1,1,0,0,24,0,2,0,1,2,7,0,1,0,3,1,2,3,0,0,1,1,0,1,0,1,0,0,0,3,1,0,2,0,1,0,0,0,2,0,2,0,0,0,1,2,0,1,0,1,0,1,1,6,1,0,2
travel,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1,1,1,0,1,2,2,5,0,4,0,0,1,0,0,0,0,5,2,0,1,0,0,1,0,1,1,0,0,0,0,2,0,2,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
videoblogging,4,0,3,1,2,1,2,0,8,1,2,1,2,2,3,7,1,4,8,5,3,11,4,10,2,3,4,1,0,1,2,15,4,8,4,0,1,1,3,1,2,1,5,2,5,6,3,6,11,0,6,14,0,6,7,6,2,1,7,2,6,3,3,1,3
web_development_and_sites,1,0,0,9,3,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
